,,,,,,,,,
,,,,,,,,,
,,% CPU Usage,,,,,,,
,,Cenários,Min,Max,Avg,,,,
,,Cenário 1,"1,02%","3,85%","1,62%",,"1,02%","3,85%","1,62%"
,,Cenário 2,"1,18%","3,29%","1,56%",,"1,18%","3,29%","1,56%"
,,Cenário 2 - app,"0,22%","0,97%","0,32%",,"0,22%","0,97%","0,32%"
,,Cenário 2 - db,"0,96%","2,32%","1,24%",,"0,96%","2,32%","1,24%"
,,Memory Usage (MB),,,,,,,
,,Cenário 1,"211,62","220,07","215,63",,,,
,,Cenário 2,"206,9","212,96","209,85",,,,
,,Cenário 2 - app,"176,29","182,32","179,22",,,,
,,Cenário 2 - db,"30,61","30,64","30,63",,,,
,,Network Usage (kB),,,,,,,
,,Cenário 1 - Rcv,"9,69","25,77","17,73",,,,
,,Cenário 1 - Trsf,"29,91","85,89","57,83",,,,
,,Cenário 2 - Rcv,"19,26","48,65","33,93",,,,
,,Cenário 2 - app - Rcv,"14,04","37,91","25,94",,,,
,,Cenário 2 - db - Rcv,"5,22","10,74","7,99",,,,
,,Cenário 2 - Trsf,"33,52","102,88","68,11",,,,
,,Cenário 2 - app - Trsf,"27,89","89,57","58,64",,,,
,,Cenário 2 - db - Trsf,"5,63","13,31","9,47",,,,
,,Disk Usage (MB),,,,,,,
,,Cenário 1 - Read,"97,38","97,38","97,38",,,,
,,Cenário 1 - Write,"0,35","0,61","0,49",,,,
,,Cenário 2 - Read,"91,25","91,25","91,25",,,,
,,Cenário 2 - app - Read,"56,6","56,6","56,6",,,,
,,Cenário 2 - db - Read,"34,65","34,65","34,65",,,,
,,Cenário 2 - Write,"0,34","0,61","0,49",,,,
,,Cenário 2 - app - Write,0,0,0,,,,
,,Cenário 2 - db - Write,"0,34","0,61","0,48",,,,
